period,location,state,sector,fuel,generation,totalConsumptionBtu
2024,90,Pacific,IPP CHP,solar,7.01295,0.02393
2024,90,Pacific,IPP CHP,renewable waste products,96.61127,1.50255
2024,90,Pacific,IPP CHP,wood and wood wastes,702.35629,13.19239
2024,90,Pacific,Commercial Non-CHP,all fuels,1204.00297,15.12954
2024,90,Pacific,Commercial Non-CHP,all renewables,702.8442,8.94169
2024,90,Pacific,Commercial Non-CHP,biomass,538.9841,8.3826
2024,90,Pacific,Commercial Non-CHP,distillate fuel oil,11.66304,0.26798
2024,90,Pacific,Commercial Non-CHP,fossil fuels,66.58102,0.9492
2024,90,Pacific,Commercial Non-CHP,hydro-electric pumped storage,0,0
2024,90,Pacific,Commercial Non-CHP,conventional hydroelectric,219.635,0.74939
2024,90,Pacific,Commercial Non-CHP,landfill gas,343.77311,4.49752
2024,90,Pacific,Commercial Non-CHP,municiapl landfill gas,520.88944,8.17067
2024,90,Pacific,Commercial Non-CHP,biogenic municipal solid waste,177.11633,3.67315
2024,90,Pacific,Commercial Non-CHP,natural gas,54.91798,0.68122
2024,90,Pacific,Commercial Non-CHP,natural gas & other gases,54.91798,0.68122
2024,90,Pacific,Commercial Non-CHP,biomass,18.09466,0.21193
2024,90,Pacific,Commercial Non-CHP,biomass,195.21099,3.88508
2024,90,Pacific,Commercial Non-CHP,other renewables,18.09466,0.21193
2024,90,Pacific,Commercial Non-CHP,other,214.94276,4.48925
2024,90,Pacific,Commercial Non-CHP,petroleum liquids,11.66304,0.26798
2024,90,Pacific,Commercial Non-CHP,petroleum,11.66304,0.26798
2024,90,Pacific,Commercial Non-CHP,renewable,922.4792,9.69109
2024,90,Pacific,Commercial Non-CHP,solar photovoltaic,158.1421,0.53959
2024,90,Pacific,Commercial Non-CHP,solar,158.1421,0.53959
2024,90,Pacific,Commercial Non-CHP,renewable waste products,538.9841,8.3826
2024,90,Pacific,Commercial Non-CHP,wind,5.718,0.01951
2024,90,Pacific,Commercial Non-CHP,onshore wind turbine,5.718,0.01951
2024,90,Pacific,Commercial CHP,all fuels,2005.12695,28.62819
2024,90,Pacific,Commercial CHP,all renewables,429.63214,4.51729
2024,90,Pacific,Commercial CHP,biomass,418.90249,4.48068
2024,90,Pacific,Commercial CHP,coal, excluding waste coal,148.23956,4.47103
2024,90,Pacific,Commercial CHP,all coal products,148.23956,4.47103
2024,90,Pacific,Commercial CHP,distillate fuel oil,3.11189,0.10537
2024,90,Pacific,Commercial CHP,fossil fuels,1575.44482,24.11025
2024,90,Pacific,Commercial CHP,conventional hydroelectric,0,0
2024,90,Pacific,Commercial CHP,natural gas,1424.09337,19.53385
2024,90,Pacific,Commercial CHP,natural gas & other gases,1424.09337,19.53385
2024,90,Pacific,Commercial CHP,biomass,418.90249,4.48068
2024,90,Pacific,Commercial CHP,biomass,418.90249,4.48068
2024,90,Pacific,Commercial CHP,other renewables,418.90249,4.48068
2024,90,Pacific,Commercial CHP,other,0.05,0.00064
2024,90,Pacific,Commercial CHP,petroleum liquids,3.11189,0.10537
2024,90,Pacific,Commercial CHP,petroleum,3.11189,0.10537
2024,90,Pacific,Commercial CHP,renewable,429.63214,4.51729
2024,90,Pacific,Commercial CHP,solar photovoltaic,10.72965,0.03661
2024,90,Pacific,Commercial CHP,subbituminous coal,148.23956,4.47103
2024,90,Pacific,Commercial CHP,solar,10.72965,0.03661
2024,90,Pacific,Commercial CHP,renewable waste products,418.90249,4.48068
2024,90,Pacific,Commercial CHP,waste oil and other oils,0,0
2024,90,Pacific,Commercial CHP,wood and wood wastes,0,0
2024,90,Pacific,Industrial Non-CHP,all fuels,1483.32094,19.00166
2024,90,Pacific,Industrial Non-CHP,all renewables,623.39647,8.41583
2024,90,Pacific,Industrial Non-CHP,biomass,292.24413,7.28593
2024,90,Pacific,Industrial Non-CHP,distillate fuel oil,31.75747,0.3231
2024,90,Pacific,Industrial Non-CHP,fossil fuels,793.53447,10.35775
2024,90,Pacific,Industrial Non-CHP,conventional hydroelectric,66.47,0.22809
2024,90,Pacific,Industrial Non-CHP,landfill gas,29.614,0.2135
2024,90,Pacific,Industrial Non-CHP,municiapl landfill gas,29.614,0.2135
2024,90,Pacific,Industrial Non-CHP,natural gas,724.927,9.43348
2024,90,Pacific,Industrial Non-CHP,natural gas & other gases,761.777,10.03465
2024,90,Pacific,Industrial Non-CHP,biomass,12.44891,0.13019
2024,90,Pacific,Industrial Non-CHP,biomass,12.44891,0.13019
2024,90,Pacific,Industrial Non-CHP,other gases,36.85,0.60117
2024,90,Pacific,Industrial Non-CHP,other renewables,12.44891,0.13019
2024,90,Pacific,Industrial Non-CHP,other,-0.08,0
2024,90,Pacific,Industrial Non-CHP,petroleum liquids,31.75747,0.3231
2024,90,Pacific,Industrial Non-CHP,petroleum,31.75747,0.3231
2024,90,Pacific,Industrial Non-CHP,renewable,689.86647,8.64391
2024,90,Pacific,Industrial Non-CHP,solar photovoltaic,315.00086,1.07479
2024,90,Pacific,Industrial Non-CHP,solar,315.00086,1.07479
2024,90,Pacific,Industrial Non-CHP,renewable waste products,42.06291,0.34369
2024,90,Pacific,Industrial Non-CHP,wind,16.15148,0.05511
2024,90,Pacific,Industrial Non-CHP,onshore wind turbine,16.15148,0.05511
2024,90,Pacific,Industrial Non-CHP,wood and wood wastes,250.18122,6.94224
2024,90,Pacific,Industrial CHP,all fuels,13218.8805,247.08667
2024,90,Pacific,Industrial CHP,all renewables,1810.93877,78.31827
2024,90,Pacific,Industrial CHP,biomass,1808.84877,78.31113
2024,90,Pacific,Industrial CHP,bituminous coal and synthetic coal,245.55352,12.10898
2024,90,Pacific,Industrial CHP,bituminous coal,245.55352,12.10898
2024,90,Pacific,Industrial CHP,coal, excluding waste coal,267.58148,13.36899
2024,90,Pacific,Industrial CHP,all coal products,267.58148,13.36899
2024,90,Pacific,Industrial CHP,distillate fuel oil,19.51262,0.19985
2024,90,Pacific,Industrial CHP,fossil fuels,11162.54973,167.93109
2024,90,Pacific,Industrial CHP,conventional hydroelectric,0,0
2024,90,Pacific,Industrial CHP,natural gas,9309.06539,125.86231
2024,90,Pacific,Industrial CHP,natural gas & other gases,10703.67657,152.05836
2024,90,Pacific,Industrial CHP,biomass,28.06814,1.33993
2024,90,Pacific,Industrial CHP,biomass,28.06814,1.33993
2024,90,Pacific,Industrial CHP,other gases,1394.61117,26.19605
2024,90,Pacific,Industrial CHP,other renewables,28.06814,1.33993
2024,90,Pacific,Industrial CHP,other,245.392,0.83731
2024,90,Pacific,Industrial CHP,petroleum coke,0,0
2024,90,Pacific,Industrial CHP,petroleum liquids,191.29168,2.50375
2024,90,Pacific,Industrial CHP,petroleum,191.29168,2.50375
2024,90,Pacific,Industrial CHP,refined coal,0,0
2024,90,Pacific,Industrial CHP,renewable,1810.93877,78.31827
2024,90,Pacific,Industrial CHP,residual fuel oil,1.57926,0.09291
2024,90,Pacific,Industrial CHP,solar photovoltaic,2.09,0.00713
2024,90,Pacific,Industrial CHP,subbituminous coal,22.02797,1.26001
2024,90,Pacific,Industrial CHP,solar,2.09,0.00713
2024,90,Pacific,Industrial CHP,renewable waste products,28.06814,1.33993
2024,90,Pacific,Industrial CHP,waste oil and other oils,170.1998,2.211
2024,90,Pacific,Industrial CHP,wood and wood wastes,1780.78063,76.97121
2024,90,Pacific,Electric Power Sector Non-CHP,all fuels,360863.18092,2014.36967
2024,90,Pacific,Electric Power Sector Non-CHP,all renewables,100183.8073,393.15644
2024,90,Pacific,Electric Power Sector Non-CHP,biomass,3350.3402,48.67157
2024,90,Pacific,Electric Power Sector Non-CHP,coal, excluding waste coal,3225.7406,40.89875
2024,90,Pacific,Electric Power Sector Non-CHP,all coal products,3307.32682,42.00704
2024,90,Pacific,Electric Power Sector Non-CHP,distillate fuel oil,1935.94979,20.71438
2024,90,Pacific,Electric Power Sector Non-CHP,fossil fuels,115060.77552,918.12266
2024,90,Pacific,Electric Power Sector Non-CHP,geothermal,10952.3,37.36924
2024,90,Pacific,Electric Power Sector Non-CHP,hydro-electric pumped storage,-43.997,0
2024,90,Pacific,Electric Power Sector Non-CHP,conventional hydroelectric,118652.40369,405.026
2024,90,Pacific,Electric Power Sector Non-CHP,landfill gas,1285.5447,14.82547
2024,90,Pacific,Electric Power Sector Non-CHP,lignite coal,334.789,4.56951
2024,90,Pacific,Electric Power Sector Non-CHP,municiapl landfill gas,1368.94639,16.50998
2024,90,Pacific,Electric Power Sector Non-CHP,biogenic municipal solid waste,83.40169,1.68451
2024,90,Pacific,Electric Power Sector Non-CHP,natural gas,105295.53406,806.45644
2024,90,Pacific,Electric Power Sector Non-CHP,natural gas & other gases,105295.53406,806.45644
2024,90,Pacific,Electric Power Sector Non-CHP,nuclear,28345.974,296.00572
2024,90,Pacific,Electric Power Sector Non-CHP,biomass,420.83688,5.34249
2024,90,Pacific,Electric Power Sector Non-CHP,biomass,504.23857,7.027
2024,90,Pacific,Electric Power Sector Non-CHP,other gases,0,0
2024,90,Pacific,Electric Power Sector Non-CHP,other renewables,420.83688,5.34249
2024,90,Pacific,Electric Power Sector Non-CHP,other,-1335.78259,2.05886
2024,90,Pacific,Electric Power Sector Non-CHP,petroleum coke,0,0
2024,90,Pacific,Electric Power Sector Non-CHP,petroleum liquids,6457.91464,69.65918
2024,90,Pacific,Electric Power Sector Non-CHP,petroleum,6457.91464,69.65918
2024,90,Pacific,Electric Power Sector Non-CHP,refined coal,0,0
2024,90,Pacific,Electric Power Sector Non-CHP,renewable,218836.21099,798.18244
2024,90,Pacific,Electric Power Sector Non-CHP,residual fuel oil,4006.539,44.59032
2024,90,Pacific,Electric Power Sector Non-CHP,solar photovoltaic,49040.28699,167.32548
2024,90,Pacific,Electric Power Sector Non-CHP,solar thermal,2045.315,21.06675
2024,90,Pacific,Electric Power Sector Non-CHP,subbituminous coal,2890.9516,36.32925
2024,90,Pacific,Electric Power Sector Non-CHP,solar,51085.60199,188.39222
2024,90,Pacific,Electric Power Sector Non-CHP,renewable waste products,1789.78327,21.85247
